ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
11,American Tower Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,5785.67,0.21,3468.56,0.59,4454.76,956.42,787.16,238.81,18652.9,24567.5,2593.38,2596.26,682.5,993.24,1027.64,1421.12,20627.9,92.47,4.4,2.47,-7.14,5.38,5.96,5.38,BBB
12,Amgen Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,22991,0.06,12210,0.53,12344,7722,2199.1,4403,35532,36604,10692,10354,837,2998,6519,-78,35532,-2910,9.39,8.54,-10.46,10.18,2.96,2.91,BBB
13,Anadarko Petroleum Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,8653,-0.11,4012,0.46,4085,-3071,2684,42,15440,16024,2630,2638,3505,105,-972,-616,15440,3313,4.07,3.83,-7.07,4.26,4.3,4.23,BBB
14,Anheuser Busch InBev NV/SA,IFRS,Noncon,USD,USD - USD 1.0000,45517,0.04,16766,0.36,17038,1193,6656.28,8802,122743,124919,8457.01,8630.01,4979,6970.01,-3319,49415,122743,0,3.41,3.22,-5.03,4.67,8.01,8.01,BBB
15,AO Holding Company METALLOINVEST,IFRS,Con,USD,USD - USD 1.0000,6367,-0.13,1862,0.29,1899,69,449,643,4734,5030,1505,1592,596,502,494,0,4734,0,4.3,4.02,-6.82,4.74,2.59,2.48,BB
16,Apache Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,5367,-0.15,3268,0.6,3327,-1372,1252,0,8650,9122,2133,2160,1610,379,148,205,8650,0,6.14,5.5,-10.01,7.2,3.01,2.91,BBB
17,Aquanet S.A.,Local GAAP,Con,USD,PLN - USD 3.9011,110.89,0.05,54.7,0.49,54.7,19.74,47.29,14.82,216.96,216.96,53.09,48.22,94.92,0,-46.7,-0.08,216.96,0.77,21.19,21.19,-52.59,20.92,3.97,3.97,BBB
18,"Arca Continental, S.A.B. DE C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,4518.07,0.22,935.71,0.2,963.19,435.74,267.53,284.98,1578.47,1743.37,656.11,657.78,361.74,149.59,146.45,-43.34,1578.47,351.11,7.12,5.85,-12.58,8.86,1.82,1.7,A
19,Archer Daniels Midland Company,U.S. GAAP,Noncon,USD,USD - USD 1.0000,89038,0.1,2938,0.03,3147,1223,1467,3785,10320,12022,1729,2895,1477,455,963,241,10320,-527,4.93,3.61,-10.01,7.15,3.82,3.51,A
20,Atento Luxco 1,IFRS,Con,USD,USD - USD 1.0000,1757.5,-0.1,213.71,0.12,276.72,3.27,194.03,54.58,457.64,898.74,57.53,141.95,69.85,0,72.09,5.22,457.64,0,1.74,1.4,-5.86,2.92,3.25,2.14,BB
21,Atlas Copco AB,Local GAAP,Noncon,USD,SEK - USD 8.4408,12103.24,0.09,2833.74,0.23,2949.13,1388.14,575.89,152.95,2746.07,3669.2,1952.9,2142.33,340.37,865.44,936.52,210.53,2746.07,-919.11,18.08,9.44,-28.65,25.12,1.25,0.97,A
22,AutoZone Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,10635.68,0.04,2397.62,0.22,2678.12,1241.01,111.63,1197.5,5094.78,7338.78,1575.1,1577.33,498.79,0,1078.54,-2.65,5094.78,-1372.17,12.5,4.77,-21.05,17.54,2.74,2.12,BBB
23,Avianca Holdings S.A.,U.S. GAAP,Con,USD,USD - USD 1.0000,4138.34,-0.05,564.99,0.13,879.48,44.19,375.75,406.74,3274.24,5475.69,378.57,417.82,176.2,31.82,209.8,0,3274.24,0,3.3,1.8,-6.9,3.6,6.2,5.8,B
24,BAE Systems plc,Local GAAP,Con,USD,GBP - USD 0.6748,24877,0.08,2744.52,0.11,3073.5,1360.4,2277.71,351.22,5945.47,8577.36,1665.68,942.5,612.03,970.66,-640.19,-7.41,5945.47,1.48,7.21,3.78,-14.22,10.29,2.79,2.17,BBB
25,"Baidu, Inc.",U.S. GAAP,Con,USD,CNY - USD 6.4915,10225.95,0.35,2914.52,0.28,3014.2,5185.89,9412.53,172.67,6036.54,6834,2339.21,2991.98,1197.64,0,1794.34,596.77,6036.54,-404.2,15.79,9.47,-26.25,21.82,2.27,2.07,A
26,Baoshan Iron & Steel Co. Ltd.,Local GAAP,Con,USD,CNY - USD 6.9498,26646.35,0.13,3670.49,0.13,3670.49,1290.05,3572.88,7937.57,10005.74,10005.74,3388.93,2306.15,1660.52,165.27,480.36,1.78,10005.74,103.64,11.43,11.43,-13.84,11.36,2.74,2.74,A
27,Bayer AG,IAS,Con,USD,EUR - USD 0.8237,51279.59,0.05,10780.62,0.21,10940.15,4159.28,2006.8,4098.58,24575.09,23887.58,7970.13,6743.96,2878.48,2111.21,1754.28,16075.03,26538.79,0,12.8,10.5,-8.55,16.61,2.33,2.25,A
28,"Bepensa, S.A. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,732.18,0.1,122.34,0.16,122.34,63.84,51.44,146.61,253.35,253.35,88.52,87.79,58.15,2.89,26.75,18.88,253.35,0,16.98,16.98,-20.22,22.76,2.06,2.06,BBB
29,Boeing Company (The),U.S. GAAP,Con,USD,USD - USD 1.0000,94571,-0.01,10386,0.1,10673,4895,10029,384,9952,12248,5777,10499,2613,2756,5130,259,9952,-6680,12.05,8.13,-36.4,19.86,1.15,0.96,A
30,Bombardier Inc.,IFRS,Con,USD,USD - USD 1.0000,16339,-0.1,690,0.04,860,-981,1384,31,10270.5,11400,-574,-5,1255,17,-1260,-54,10501,-43,-0.02,0.21,-2.32,1.33,12.59,13.62,B
31,Boston Scientific Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,8386,0.12,2250,0.26,2330,347,196,64,5400,6040,595,972,376,0,596,408,5400,111,3.55,2.9,-11.61,9.66,2.59,2.4,BBB
32,BP plc,IFRS,Con,USD,USD - USD 1.0000,183008,-0.17,16727,0.09,20817.4,115,21425,6634,58300,91023.2,16069,17689,16701,4611,-3623,-508,58300,0,15.07,4.06,-31.55,15.59,4.17,3.29,A
33,British American Tobacco plc.,Local GAAP,Con,USD,GBP - USD 0.8129,18146.14,0.12,7214.91,0.39,7277.65,5717.8,2518.14,3699.1,23982.04,24483.95,5161.77,5010.46,829.13,3579.78,601.55,-114.41,23982.04,-78.73,7.45,6.97,-11.37,10.31,2.99,2.95,BBB
34,Brown-Forman Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,2994,-0.03,1043,0.34,1066,669,29,460,2176,2360,736,639,115,274,250,307,2176,-571,16.27,11.32,-20.02,21.73,2.21,2.09,A
35,Bunge Limited,U.S. GAAP,Con,USD,USD - USD 1.0000,42679,-0.01,1715,0.04,1919,754,1028,1736,5150,6758,1675,1739,784,257,732,7,5495,-200,7.06,4.44,-10.98,7.18,3.77,3.06,BBB
36,Cablevision S.A.,Local GAAP,Con,USD,ARS - USD 15.9000,1922.72,0.51,686.76,0.35,721.49,258.31,165.34,58.98,601.58,844.73,548.29,590.14,570.25,94.27,-74.39,127.81,601.58,0,9.7,6.5,-30.1,11.3,1.2,0.9,B
37,"CalAtlantic Group, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,6388,0.82,977.3,0.15,988.1,484.8,58.1,0,3428.1,3514.5,625.3,322.3,0,18.8,303.5,0,3428.1,-231.2,3.68,3.56,-2.44,4.19,3.56,3.51,BB
38,Capex S.A.,Local GAAP,Con,USD,ARS - USD 8.8600,142.32,0.54,62.95,0.44,62.95,0.04,27.26,26,250.41,250.41,86.13,72.19,39.5,0,32.69,-15.91,250.41,0,4.59,4.59,-3.25,2.92,3.98,3.98,B
39,Carlsberg Breweries A/S,IFRS,Noncon,USD,DKK - USD 7.0528,8877.89,-0.04,1817.01,0.2,1880.81,645.7,283.86,1304.16,4301.13,4811.56,1156.42,1304.3,540.78,194.67,568.85,-345.39,4301.13,0,7.72,5.87,-16.13,10.48,2.64,2.44,BBB
40,Caterpillar Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,35773,-0.18,4511,0.12,4886,-67,10,716,12487.2,15487.2,3568,4019,1206,1799,1014,66,12487.2,-23,4.32,3.46,-12.14,4.78,2.81,2.43,A
41,CBS Corporation,U.S. GAAP,Noncon,USD,USD - USD 1.0000,13166,-0.05,3251,0.24,3418,1552,598,473,9465.2,10904.2,2199,1454,196,288,1201,72,9465.2,-2976,6.22,4.72,-8.79,7.83,3.19,2.91,BBB
42,Celulosa Arauco y Constitucion S.A.,IFRS,Con,USD,USD - USD 1.0000,4761.39,-0.07,1027.07,0.21,1027.07,217.58,592.25,743.43,4614.34,4614.34,734.39,732.38,496.86,130.62,104.89,135.45,4614.34,0,4.33,4.33,-5.91,4.88,4.47,4.47,BBB
43,"CenturyLink, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,17470,-0.02,6516,0.37,6998,626,178,1503,20014,23870,4765,4608,2981,1167,460,9,20014,-10,4.66,3.67,-7.27,5.01,3.41,3.07,BB
44,China Baowu Steel Group Corporation Limited,U.S. GAAP,Con,USD,CNY - USD 6.9498,44306.72,-0.06,5185.92,0.11,5185.92,423.27,10364.96,25015.67,32134.7,32134.7,4934.15,4191.49,2375.22,168.01,1648.25,2.01,32134.7,0,4.85,4.85,-5.56,4.05,6.36,6.36,A
45,CLISA-Compania Latinoamericana de Infraestructura ,Local GAAP,Con,USD,ARS - USD 15.9000,697.48,0.29,111,0.15,111,-49.03,71.75,97.2,346.85,346.85,79.52,122.22,27.62,0,94.61,2.25,346.85,0,2,2,-1.4,1.6,3.1,3.1,B
46,CLP Holdings Limited,IFRS,Con,USD,HKD - USD 7.7555,11895.94,-0.11,2416.22,0.2,2416.22,1466.44,520.66,1242.47,9441.82,9591.77,2741.8,2536.65,1587.78,866.61,101.86,1017.21,9441.82,0,6.4,6.4,-10.62,5.38,3.71,3.65,A
47,Coca-Cola Icecek,IFRS,Con,USD,TRY - USD 3.5224,2001.53,0.04,301.44,0.15,309.16,-8.09,361,103.76,1070.35,1108.96,283.16,328.98,146.8,8.52,173.66,0,0,0,6.9,6.05,-9.89,6.55,3.59,3.55,BBB
48,Colbun S.A. (Colbun),IFRS,Noncon,USD,USD - USD 1.0000,1436.24,0.09,601.75,0.41,601.75,201.43,667,51.44,1710.03,1710.03,326.62,425.45,187.67,98.92,138.85,8.75,1710.03,0,4.43,4.43,-8.42,6.61,2.8,2.8,BBB
49,Colombia Telecomunicaciones S.A. E.S.P.,IFRS,Noncon,USD,COP - USD 3000.7100,1581.66,0.04,500.13,0.31,576.39,-113.73,71.54,255.14,2762.3,3143.58,144.8,162.81,316.37,0,-153.56,0,2762.3,0,1.45,1.36,-3.51,1.6,5.45,5.52,BB
50,Compagnie de Saint-Gobain,IFRS,Con,USD,EUR - USD 0.9487,41206.91,-0.01,3934.86,0.09,4528.3,1381.89,3096.87,2548.75,9868.24,14615.79,2896.6,2647.83,1577.95,716.77,353.11,207.65,9868.24,-283.55,8.37,3.92,-15.37,10.08,3.24,2.52,BBB
51,Companhia de Saneamento Basico do Estado de Sao Pa,Local GAAP,Con,USD,BRL - USD 3.2585,3181.01,0.23,1300.4,0.4,1300.4,904.43,578.86,383.13,3685.84,3685.84,928.26,921.77,655.45,42.78,223.54,0,3685.84,0,4.8,4.8,-14.8,5.7,2.8,2.8,BB
52,"Conagra Brands, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,7826.9,-0.32,1537.1,0.19,1608.3,537.3,6.5,227.2,2978.7,3548.3,1009.1,1140.8,567.8,415,192.7,-489,2978.7,-926.2,5.49,4.41,-10.64,6.86,2.21,1.94,BBB
53,Corporacion Nacional del Cobre de Chile (Codelco),IFRS,Noncon,USD,USD - USD 1.0000,11536.75,-0.01,3674.25,0.31,3904.71,-275.42,576.73,342.45,15220.04,16833.28,924.92,1309.82,3014.86,0,-1705.03,0,15220.04,1.19,2.55,2.12,-11.72,6.38,4.23,4.06,A
54,Cosan Limited,IFRS,Noncon,USD,BRL - USD 3.2585,3841.69,0.01,1254.22,0.32,1254.22,151.69,1777.25,994.02,6592.93,6592.93,1093.51,983.91,672.24,442.09,-130.42,0.06,6592.93,627.67,2.7,2.7,-4.1,3,4.03,4.03,BB
55,CRH plc,Local GAAP,Con,USD,EUR - USD 0.9487,28569.62,0.14,3299.25,0.11,3607.04,1310.21,2159.8,323.6,8244.97,10707.28,2491.83,2508.7,899.13,371.03,1238.54,-141.25,8244.97,50.6,7.81,4.69,-12.78,9.14,2.94,2.47,BBB
56,Crown Resorts Limited,IFRS,Con,USD,AUD - USD 1.3001,2524.88,-0.08,604.49,0.23,610.72,1435.27,1258.75,269.29,1117.38,762.56,311.98,358.2,311.13,854.4,-807.32,-2434.58,1515.81,-384.51,3.3,3.2,-11.4,5,1.7,1.7,BBB
57,"Darden Restaurants, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,7170.2,0.03,1018.9,0.14,1350.9,482.5,233.1,3.2,1008.9,3664.9,928.7,918.2,318.3,279.1,302.5,756.1,1008.9,-117.1,26.07,3.51,-38.64,27.54,2.71,0.99,BBB
58,Deere & Company,U.S. GAAP,Con,USD,USD - USD 1.0000,23387.3,-0.09,1856,0.07,2041,1523.9,644.8,249,4835.2,6315.2,2660.1,3183.4,641.8,761.3,1780.3,117.4,4835.2,-169.4,7.02,5.24,-12.95,5.47,2.43,2,A
59,Delphi Automotive PLC,U.S. GAAP,Con,USD,USD - USD 1.0000,16661,0.09,3047,0.18,3143,1149,738,135,4127,4895,1747,1918,828,359,731,-210,4127,-634,13.04,8.24,-25.56,21.13,1.55,1.35,BBB
60,"Deutsche Bank Mexico, S.A. Fideicomiso F/1401 (FIB",IFRS,Noncon,USD,MXN - USD 20.7314,639.26,0.23,497.65,0.77,497.65,570.37,361.76,30.58,3126.01,3126.01,390.14,421.28,405.56,307.3,-291.57,0,3126.01,0,3.14,3.14,-4.89,2.79,6.28,6.28,BBB
61,Digicel Group Limited,IFRS,Noncon,USD,USD - USD 1.0000,2505.03,-0.06,1040.83,0.41,1091.15,-44.85,232.54,303.18,6459.46,6862.01,382.75,357.62,429.34,0,-71.72,-66.99,6459.46,0,1.9,1.8,-3.3,2.4,6.3,6.2,B
62,Dongfeng Motor Group Company Limited,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
63,Dow Chemical Company,U.S. GAAP,Con,USD,USD - USD 1.0000,48158,-0.01,9179,0.19,9840,4318,4895.5,1927,22756,28044,5348,4971,3804,2462,-870,-1147,22756,-518,4.24,3.3,-12.86,8.13,2.71,2.35,BBB
64,Downer EDI Limited,IFRS,Con,USD,AUD - USD 1.3466,5060.45,-0.02,391.43,0.07,519.46,134.12,422.84,35.5,485.07,1120.6,335.07,325.41,171.62,76.86,76.93,-4.53,617.7,-19.68,11.36,3.06,-23.61,12.72,2.35,1.2,BBB
65,E.I. du Pont de Nemours and Company,U.S. GAAP,Con,USD,USD - USD 1.0000,24764,-0.02,5593,0.22,5838,2509,4967,429,8680.5,10522,4422,3290,1019,1335,946,-316,8799,-735,11.9,7.73,-17.36,14.49,1.82,1.55,A
66,Eastern Power Networks plc,Local GAAP,Con,USD,GBP - USD 0.8030,792.15,0.04,559.53,0.7,559.53,159.9,7.35,0,2121.42,2121.42,388.17,378.46,389.54,117.93,-129.02,-0.37,2121.42,0,4.77,4.77,-9.68,6.02,3.79,3.79,BBB
67,Eastman Chemical Co,U.S. GAAP,Con,USD,USD - USD 1.0000,9008,-0.06,2105,0.23,2195,951,81,382,6693,7413,1442,1481,626,272,583,-15,6693,-130,6.06,4.83,-9.77,7.49,3.39,3.19,BBB
68,eBay Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,17902,0.11,5679,0.31,5838,46,9900,850,7627,8899,5921,5677,1271,0,4406,59,7627,-4358,59.47,23.43,-57.8,57.36,1.52,1.34,BBB
69,Ecopetrol S.A.,Local GAAP,Noncon,USD,COP - USD 3000.7100,15907.02,-0.08,5385.41,0.33,5385.41,521.45,4591.45,1375.08,17403.22,17403.22,4863.23,4186.11,1945.37,570.63,1670.11,0,17403.22,-1049.72,6.69,6.69,-8.04,6.57,3.19,3.19,BBB
70,EI Towers S.p.A.,IFRS,Con,USD,EUR - USD 0.9487,266.4,0.03,129.8,0.48,176.95,46.82,99.07,8.38,249.3,560.51,97.63,91.49,28.95,0,58.83,43.98,249.3,-16.46,11.86,2.73,-19.55,14.53,3.17,1.92,BBB
71,Eldorado Brasil Celulose S.A.,IFRS,Con,USD,BRL - USD 3.2585,909.1,-0.07,390.99,0.43,390.99,88.5,370.12,736.66,2793.54,2793.54,149.24,205.93,215.55,0,-9.62,0,2793.54,0,1.6,1.6,-2.4,1.8,7.1,7.1,B
72,Electronic Arts Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,4845,0.1,1689,0.34,1780,967,980.3,0,1000,1728,1519,1383,123,0,1260,0,1000,-436,35.74,12.15,-40.49,39.28,0.97,0.59,BBB
73,"Elektra Noreste, S.A.",U.S. GAAP,Noncon,USD,USD - USD 1.0000,569.49,-0.05,84.73,0.14,86.89,32.17,3.62,82,283.25,317.79,33.71,43.92,75.01,20,-51.09,0,283.25,0,3.63,3.25,-12.67,6.66,3.66,3.34,BBB
74,Eletropaulo Metropolitana Eletricidade de Sao Paul,Local GAAP,Con,USD,BRL - USD 3.2585,3332.02,-0.16,225.35,0.06,225.35,6.42,327.64,279.21,1024.4,1024.4,609.68,522.19,259.26,12.84,250.08,-21.53,1024.4,0,4.94,4.94,-2.78,1.53,4.55,4.55,BB
75,Eli Lilly and Company,U.S. GAAP,Con,USD,USD - USD 1.0000,21222.1,0.06,5623.2,0.26,5844.2,2737.6,2456.5,2599,10801.1,12569.1,5069.6,4860,1037,2158.5,1664.5,45,10801.1,-600.1,34.89,14.5,-37.16,38.41,2.15,1.92,A
76,Emgesa S.A. E.S.P,Local GAAP,Noncon,USD,COP - USD 3000.7100,1171.08,0.07,627.4,0.53,627.4,251.11,206.19,114.23,1441.68,1441.68,409.21,390.5,104.05,264.99,21.46,0,1441.68,0,3.64,3.64,-4.69,4.18,2.3,2.3,BBB
77,Empresa Nacional de Telecomunicaciones S.A. (ENTEL,IFRS,Con,USD,CLP - USD 667.2900,2827.72,0.05,620.39,0.21,710.05,51.19,166.22,27.62,2228.14,2855.77,487.66,428.95,976.7,0.06,-547.8,-5.76,2228.14,530.06,5.73,3.51,-13.69,6.12,4.02,3.59,BBB
78,Empresa Nacional del Petroleo (ENAP),IFRS,Noncon,USD,USD - USD 1.0000,5217.06,-0.17,677.98,0.12,677.98,308.34,77.78,867.59,4007.31,4007.31,389.79,456.86,623.89,0,-167.03,59.15,4007.31,0,3.31,3.31,-7.06,4.17,5.77,5.77,A
79,Empresas CMPC S.A.,IFRS,Con,USD,USD - USD 1.0000,4865.74,0,966.21,0.19,966.21,-18.19,595.84,420.47,4315.03,4315.03,543.39,500.7,525.38,36.32,-61,-0.89,4315.03,0,3.9,3.9,-7.1,5.2,4.5,4.5,BBB
80,Empresas Copec S.A.,IFRS,Con,USD,USD - USD 1.0000,16699.31,-0.08,1738.71,0.1,1786.28,554.18,1410.52,957.43,6695.47,7028.46,1440.32,1454.54,844.39,251.1,359.04,966.26,6695.47,-1.02,5.77,5.1,-7.74,6.25,3.79,3.71,BBB
81,"Enbridge Energy Partners, L.P.",U.S. GAAP,Noncon,USD,USD - USD 1.0000,4481.9,-0.12,1676.7,0.37,1689.7,-67.7,108.8,750,8477.6,7190.1,1411.2,1415.7,1091.3,864.2,-539.8,-15.2,9869.1,0,3.87,3.8,-5.7,4.25,4.99,4.97,BBB
82,ENEA S.A.,IAS,Con,USD,PLN - USD 3.9011,2524.52,0,585.66,0.23,588.6,-111.48,508.91,11.38,1532.59,1553.23,485.99,547.23,729.9,53.4,-236.06,320.83,1532.59,0,23.93,21.12,-96.36,27.78,2.64,2.62,BBB
83,Energa S.A.,IAS,Con,USD,PLN - USD 3.9011,2769.48,0.02,578.81,0.2,578.81,213.27,498.06,71.52,1504.7,1504.7,499.35,354.77,410.65,152.78,-208.66,0,1504.7,0,9.59,9.59,-14.79,10.26,2.6,2.6,BBB
84,Energisa S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,3186.64,-0.03,558.61,0.17,558.61,75.88,786.38,496.56,2430.79,2430.79,400.09,329.57,405.48,37.96,-113.87,-16,2430.79,474.29,2.4,2.4,-4.1,2.6,4.4,4.4,BB
85,"Energy Transfer Equity, L.P.",U.S. GAAP,Con,USD,USD - USD 1.0000,37504,-0.1,5683,0.15,5904,995,483,1194,44208,45763,3551,3282,8092,1022,-5832,1570,44421,2559,3.52,3.18,-6.95,4.12,7.62,7.6,BB
86,Engie Energia Chile S.A.,Local GAAP,Con,USD,USD - USD 1.0000,967.44,-0.15,280.95,0.29,280.95,254.83,278.81,17.43,748.87,748.87,165.99,233.29,369.93,91.21,-227.85,-237.1,748.87,0,7.28,7.28,-24.35,10.73,2.67,2.67,BBB
87,Engie S.A.,Local GAAP,Con,USD,EUR - USD 0.9487,70242.44,-0.04,10646.15,0.15,11335.51,-437.44,10699.06,12367.45,39516.71,43306.63,8047.85,9490.88,6566.88,2637.29,286.71,-1919.47,41241.7,70.62,8.93,5.69,-18.68,10.8,3.93,3.67,A
88,Enjoy S.A.,Local GAAP,Con,USD,CLP - USD 667.2900,409.96,0.17,80.64,0.19,88.72,-60.12,42.1,324.55,528.63,585.22,74.4,33.06,15.52,8.29,9.25,0,528.63,0,3.8,3.15,-4.74,3.05,6.6,6.55,B
89,Eurasia Drilling Company Limited,U.S. GAAP,Con,USD,USD - USD 1.0000,1609.2,-0.08,407.5,0.25,407.5,65.4,402.7,332.6,1121.7,1121.7,334.6,402.5,99,0,303.5,0,1121.7,-27.7,6.2,6.2,-8.2,6.6,2.8,2.8,BB
90,EuroChem Group AG,IFRS,Con,USD,USD - USD 1.0000,4375,-0.03,1045,0.23,1051,708,333,1468,4247,4283,829,878,1323,0,-445,93,4247,250,5.66,5.5,-17.98,6.01,4.08,4.06,BB
91,Express Scripts Holding Company,U.S. GAAP,Con,USD,USD - USD 1.0000,100488,-0.01,7391.1,0.07,7454,2771,3077.2,722.3,15674,16177.2,4401.7,4932.4,330.4,0,4602,0,15674,-4659.7,9.57,8.62,-11.2,14.49,2.17,2.12,BBB
92,Faurecia S.A.,IFRS,Con,USD,EUR - USD 0.9487,19722.25,0,1727.94,0.08,1788.66,473.81,1230.32,1429.85,3123.85,3609.57,1243.28,1197.96,1101.4,93.6,2.95,-561.29,3123.85,3.37,9.15,6.81,-17.83,11.03,2.09,1.87,BB
